"Russia","income","trade","accumulation"
2004,748.1,393.5,2142.3
2004,781.8,394.5,2198
2004,828.1,430.7,2282.1
2004,863.7,433.2,2329.1
2004,779,433.3,2406.2
2004,882.5,438.2,2411.3
2004,913.9,457.3,2470.1
2004,890.9,472.9,2483.3
2004,896.9,481.3,2467.7
2004,937,505.9,2488.1
2004,975.4,518.4,2518.7
2004,1319.4,606.3,2572
2005,770.4,478.4,2810.4
2005,945.5,481.5,2720.2
2005,1050.3,528.3,2776.2
2005,1098.3,544.9,2860.2
2005,1025.5,551.2,2981.5
2005,1110.6,553.3,3022.4
2005,1122.7,572,3109.3
2005,1088.9,591.7,3172.1
2005,1159.6,605.8,3169.9
2005,1161.5,629.2,3237.6
2005,1190.2,638.4,3275.1
2005,1691,759.6,3332.9
2006,951.3,590.7,3702.4
2006,1173.5,595.6,3578.3
2006,1284.3,655.2,3655.8
2006,1351.7,671.7,3749.4
2006,1349,680.5,3904.5
2006,1464.8,691.2,4027.1
2006,1427.6,715.6,4226.1
2006,1428.9,742.4,4334.7
2006,1428.4,756.4,4454.4
2006,1433.5,786.5,4572.6
2006,1456.6,792.2,4627.3
2006,2118.7,949.5,4696.1
2007,1167.6,720.3,5464.9
2007,1436.2,721.1,5332.6
2007,1564.8,793.5,5482.5
2007,1636.9,817.8,5622.3
2007,1649.8,838.3,5830.6
2007,1747.6,860.3,5986.6
2007,1757.4,893.9,6217.8
2007,1769.4,932.9,6422.2
2007,1821.2,943.8,6603.7
2007,1851.1,993.9,6770.6
2007,1967.2,1012.9,6858.9
2007,2769.7,1229.1,7049.5
2008,1500.6,937.9,7684.3
2008,1819.8,958,7479.1
2008,1894.2,1042.5,7555.4
2008,2080.6,1069.9,7626.6
2008,2035,1108.6,7869.1
2008,2153.9,1131.6,8015.9
2008,2201.9,1179.7,8218.5
2008,2244.7,1223.2,8382.8
2008,2243.4,1237.3,8558.9
2008,2261.2,1272,8499.5
2008,2188.5,1238.9,8123
2008,2898.6,1453.6,7797.9
2009,1572.8,1098.2,7773
2009,2107.7,1065.8,7145.7
2009,2217.5,1143.6,7198.5
2009,2381.6,1148.3,7228
2009,2324.4,1167.8,7480.3
2009,2439.8,1178.1,7653.3
2009,2405.1,1208.2,7850.6
2009,2279.7,1228.4,7944.8
2009,2351.2,1231.8,7934.1
2009,2512.5,1270,7986
2009,2433,1258.3,8193.5
2009,3410.6,1518.4,8369.9
2010,1910.1,1193.3,9141.1
2010,2363.3,1163.7,8991.7
2010,2456.9,1267.5,9276.8
2010,2661.8,1279.1,9482.4
2010,2497.8,1315.2,9924.1
2010,2663.5,1334.5,10127.4
2010,2664.9,1379.7,10435.5
2010,2531.4,1411.3,10675
2010,2559.2,1403.9,10776.9
2010,2695.6,1459.8,10897.5
2010,2708.5,1463.4,11088.6
2010,3843.4,1764.4,11283.7
2011,2161.5,1362.1,12244.4
2011,2656.2,1356,11934.7
2011,2689.4,1464.7,12159.2
2011,2915.5,1490.6,12259.4
2011,2687.2,1532.4,12628.9
2011,3023.9,1552.8,12670.1
2011,2998.4,1594.2,12989.2
2011,2861.4,1648.2,13236.2
2011,2875.3,1641.2,13265.3
2011,2935.5,1697.4,13373
2011,2987.7,1692.9,13380.2
2011,4400.7,2042.5,13523.9
2012,2283,1520.8,14796.6
2012,2879.2,1516.5,14424.2
2012,2903.2,1632.6,14607.2
2012,3151.3,1645.5,14688
2012,3009.3,1706,15057.3
2012,3366.5,1744.1,15161
2012,3196.4,1788.4,15534.6
2012,3321.6,1838.6,15565.9
2012,3322.6,1839.9,15715.6
2012,3265.6,1895.3,15812.6
2012,3496.9,1892.7,15850.2
2012,5006,2299.5,16134.5
2013,2508.5,1709.4,17266.8
2013,3294.5,1691.4,16788.1
2013,3478.8,1841.6,17154.1
2013,3695.1,1847.2,17470.7
2013,3239.5,1893.8,18040.8
2013,3733.2,1933.9,18080.4
2013,3664.5,1990.4,18510.9
2013,3665.6,2036.7,18647.8
2013,3531.3,2016.6,18804.6
2013,3705.6,2085.6,18748.5
2013,3839.2,2102.6,18894.4
2013,5528.5,2519.2,19143.5
2014,2690.4,1867.1,20406.5
2014,3612,1871.3,19689.2
2014,3534.4,2054.5,19845.7
2014,4050.9,2042.9,19563.5
2014,3772.5,2095,19997.5
2014,3963.3,2118.8,20042.9
2014,4050.2,2192.2,20228
2014,4168.6,2263.8,20443
2014,3897.9,2241.3,20699.1
2014,4157.2,2310.9,20650.8
2014,4137,2343.6,20608.1
2014,5884.7,2954.8,20624
2015,3037.3,2050.5,20886
2015,4108.7,2024.4,20278.2
2015,4040.9,2196.6,20648.2
2015,4595.9,2158.9,20723.3
2015,4068.1,2213.7,21280.3
2015,4396,2223.3,21353.2
2015,4555.7,2301.1,21698.4
2015,4587,2376.7,22023.5
2015,4328.5,2322.6,22090.6
2015,4532.9,2385.2,22173.8
2015,4493.9,2387.3,22357
2015,6804.7,2898.1,22601.7
2016,3155.1,2126.2,24130.8
2016,4213.9,2098.6,23552.9
2016,4231.2,2220.3,23992.1
2016,4589.8,2204.2,24214.5
2016,4076.5,2232.9,24805.4
2016,4495.7,2255.7,24944.4
2016,4521.2,2362.6,25324.8
2016,4529.9,2439.8,25568.8
2016,4470.9,2411.4,25643.3
2016,4562.2,2446.9,25764.9
2016,4496.9,2439.3,25871.2
2016,6775.2,2899.3,26047.4
